num_hecho,dia_ocu,mes_ocu,año_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_pil,edad_pil,g_edad_pil,estado_pil,tipo_vehi,color_vehi,modelo_vehi,causa_acc
2418,17,8,9,1,10,15,2,1,17,2,9,4,5,9999,2
729,5,3,9,4,4,21,2,1,17,2,9,4,14,9999,4
790,9,3,9,1,22,10,2,1,17,2,9,4,1,9999,4
1117,11,4,9,6,17,6,2,1,17,2,9,4,99,9999,4
2531,28,8,9,5,8,10,1,1,17,2,9,4,4,9999,4
3376,17,12,9,4,14,14,2,1,17,1,9,5,2,9999,3
2564,2,9,9,3,16,1,1,1,17,2,1,1,1,1983,1
544,18,2,9,3,15,7,2,1,17,2,1,1,6,1995,1
3142,13,11,9,5,3,1,1,1,17,2,1,1,2,2007,2
1189,18,4,9,6,16,17,1,1,17,2,1,1,10,9999,2
34,3,1,9,6,16,20,2,1,17,2,1,2,3,1989,3
3431,22,12,9,2,13,11,1,1,17,2,1,3,1,9999,1
241,24,1,9,6,11,19,2,1,17,2,1,3,11,2006,3
553,19,2,9,4,9,17,2,1,17,2,1,4,3,2007,1
365,3,2,9,2,19,11,1,2,17,2,1,4,99,9999,1
388,5,2,9,4,14,15,1,1,17,2,1,4,3,9999,1
1465,16,5,9,6,21,1,1,1,17,2,1,4,99,9999,1
1518,21,5,9,4,21,5,2,1,17,2,1,4,3,9999,1
992,30,3,9,1,19,17,2,1,17,2,1,4,99,9999,2
1920,9,7,9,4,0,11,2,1,17,2,1,4,1,9999,4
3124,8,11,9,7,10,20,1,1,17,2,1,9,2,2004,1
576,21,2,9,6,13,4,2,1,18,1,9,1,3,1996,1
3174,20,11,9,5,11,1,1,1,18,1,9,1,6,9999,1
252,25,1,9,7,0,1,2,1,18,1,9,1,11,9999,2
1618,5,6,9,5,19,1,2,1,18,1,9,4,2,2005,1
2175,5,8,9,3,13,19,2,1,18,1,9,4,3,2006,1
2245,5,8,9,3,13,19,2,1,18,1,9,4,3,2006,1
2315,5,8,9,3,13,19,2,1,18,1,9,4,3,2006,1
570,21,2,9,6,13,9,2,2,18,1,9,4,7,9999,1
645,27,2,9,5,6,1,1,1,18,1,9,4,5,9999,1
1154,13,4,9,1,20,2,2,1,18,1,9,4,99,9999,1
2827,6,10,9,2,21,5,2,1,18,1,9,4,5,9999,1
2987,24,10,9,6,21,5,2,1,18,1,9,4,99,9999,1
3008,27,10,9,2,20,10,1,1,18,1,9,4,5,9999,1
3284,6,12,9,7,5,1,2,1,18,1,9,4,3,9999,1
849,15,3,9,7,22,5,1,1,18,1,9,4,1,9999,2
968,28,3,9,6,16,18,2,1,18,1,9,4,5,1999,4
2598,7,9,9,1,7,4,2,1,18,1,9,4,99,9999,4
2958,21,10,9,3,15,10,1,2,18,1,9,4,99,9999,4
2981,23,10,9,5,18,17,1,2,18,1,9,4,4,9999,4
1311,1,5,9,5,18,16,2,1,18,1,9,5,2,9999,4
2579,5,9,9,6,13,1,2,1,18,1,9,9,3,9999,2
109,11,1,9,7,18,12,2,1,18,1,9,14,1,2007,3
3001,26,10,9,1,13,1,1,1,18,1,9,14,1,9999,3
864,17,3,9,2,14,18,1,2,18,1,9,99,99,9999,2
405,7,2,9,6,20,8,1,1,18,1,2,1,10,1993,1
406,7,2,9,6,15,16,2,1,18,1,2,1,10,1993,1
728,4,3,9,3,23,1,1,1,18,1,2,1,4,2009,1
2343,8,8,9,6,22,10,2,1,18,1,2,1,4,9999,1
2660,15,9,9,2,13,19,2,1,18,1,2,1,99,9999,1
3155,17,11,9,2,23,9,1,1,18,1,2,3,9,1996,1
1626,5,6,9,5,0,4,2,1,18,1,2,3,6,1998,1
2844,9,10,9,5,8,1,1,1,18,1,2,3,9,1998,1
518,15,2,9,7,22,13,2,1,18,1,2,3,99,9999,1
2002,18,7,9,6,20,9,2,1,18,1,2,3,3,9999,1
127,13,1,9,2,23,9,1,1,18,1,2,4,1,2008,1
2492,24,8,9,1,21,13,1,1,18,1,2,4,2,9999,1
3068,2,11,9,1,23,12,2,1,18,1,2,4,1,9999,2
2640,12,9,9,6,21,4,2,1,18,1,2,4,9,2008,4
1961,13,7,9,1,22,9,1,1,18,1,2,4,5,9999,4
3170,19,11,9,4,19,1,1,1,18,1,2,4,5,9999,4
1312,1,5,9,5,0,2,2,1,18,1,2,5,2,2008,1
1910,7,7,9,2,14,2,2,1,18,1,1,1,5,1988,1
1924,9,7,9,4,14,1,1,1,18,1,1,1,5,1990,1
2182,6,8,9,4,7,12,2,1,18,1,1,1,3,1991,1
