núm_corre,día_ocu,año_ocu,hora_ocu,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,área_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,tipo_eve,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,g_hora,g_hora_5,g_modelo_veh,fall_les,int_o_noint
5831,11,2016,23,9,7,1201,12,1,99,1,11,2,2,69,2,9999,1,1,1,3,4,3,6,2,1
5832,11,2016,11,9,7,208,2,2,99,1,19,1,4,6,5,2003,2,2,2,4,2,1,4,1,2
5833,11,2016,18,9,7,1805,18,2,99,1,37,1,4,999,99,9999,1,6,6,8,4,3,6,2,2
5834,11,2016,18,9,7,1805,18,2,99,1,19,1,4,999,99,9999,1,2,2,4,4,3,6,2,2
5835,11,2016,18,9,7,1805,18,2,99,1,17,2,4,999,99,9999,1,2,2,4,4,3,6,2,2
5836,11,2016,17,9,7,1705,17,2,99,1,23,1,4,999,99,9999,1,3,3,5,3,2,6,1,2
5837,11,2016,17,9,7,1705,17,2,99,1,43,1,4,999,99,9999,1,7,7,9,3,2,6,1,2
5838,11,2016,19,9,7,704,7,2,99,2,65,1,2,27,1,9999,1,12,11,14,4,3,6,2,1
5839,11,2016,19,9,7,704,7,2,99,2,2,2,2,27,1,9999,1,1,1,1,4,3,6,2,1
5840,11,2016,19,9,7,704,7,2,99,2,19,1,2,27,1,9999,1,2,2,4,4,3,6,2,1
5841,11,2016,19,9,7,704,7,2,99,2,32,1,2,27,1,9999,1,5,5,7,4,3,6,2,1
5842,11,2016,19,9,7,704,7,2,99,2,43,1,2,27,1,9999,1,7,7,9,4,3,6,2,1
5843,11,2016,23,9,7,403,4,2,99,1,29,1,4,999,5,9999,1,4,4,6,4,3,6,2,1
5844,11,2016,23,9,7,403,4,2,99,1,26,1,4,999,5,9999,1,4,4,6,4,3,6,2,1
5845,11,2016,20,9,7,403,4,2,99,1,19,1,4,35,1,2012,1,2,2,4,4,3,5,2,1
5846,11,2016,10,9,7,301,3,1,99,1,28,1,4,67,5,9999,1,4,4,6,2,1,6,2,1
5847,12,2016,18,9,1,117,1,1,99,1,18,1,4,32,5,9999,1,2,2,4,4,3,6,2,1
5848,12,2016,18,9,1,117,1,1,99,2,23,1,4,32,5,9999,1,3,3,5,4,3,6,2,1
5849,12,2016,17,9,1,1904,19,2,99,1,55,1,14,6,1,2013,1,10,10,12,3,2,5,2,1
5850,12,2016,17,9,1,1904,19,2,99,2,30,1,14,6,1,2013,1,5,5,7,3,2,5,2,1
5851,12,2016,19,9,1,101,1,1,18,1,17,2,4,999,99,9999,4,2,2,4,4,3,6,2,1
5852,12,2016,19,9,1,101,1,1,18,2,23,1,4,999,99,9999,4,3,3,5,4,3,6,2,1
5853,12,2016,18,9,1,705,7,2,99,1,12,2,2,69,9,9999,3,1,1,3,4,3,6,2,1
5854,12,2016,18,9,1,705,7,2,99,2,34,1,2,69,9,9999,3,5,5,7,4,3,6,2,1
5855,12,2016,18,9,1,705,7,2,99,2,13,2,2,69,9,9999,3,1,1,3,4,3,6,2,1
5856,12,2016,18,9,1,705,7,2,99,2,56,1,2,69,9,9999,3,10,10,12,4,3,6,2,1
5857,12,2016,18,9,1,705,7,2,99,2,999,1,2,69,9,9999,3,16,12,18,4,3,6,2,1
5858,12,2016,18,9,1,705,7,2,99,2,999,1,2,69,9,9999,3,16,12,18,4,3,6,2,1
5859,12,2016,18,9,1,705,7,2,99,1,62,1,2,69,9,9999,3,11,11,13,4,3,6,2,1
5860,12,2016,19,9,1,1708,17,2,99,1,56,1,9,69,6,9999,1,10,10,12,4,3,6,2,1
5861,12,2016,19,9,1,1708,17,2,99,2,40,1,3,52,3,2015,1,7,7,9,4,3,5,2,1
5862,12,2016,19,9,1,1708,17,2,99,2,13,2,3,52,3,2015,1,1,1,3,4,3,5,2,1
5863,12,2016,18,9,1,1701,17,2,99,1,32,1,11,16,2,2004,2,5,5,7,4,3,4,2,1
5864,12,2016,23,9,1,1705,17,2,99,1,43,1,4,999,99,9999,1,7,7,9,4,3,6,1,2
5865,12,2016,23,9,1,1705,17,2,99,1,22,1,4,999,99,9999,1,3,3,5,4,3,6,1,2
5866,12,2016,20,9,1,2101,21,2,99,1,19,1,1,27,2,1994,1,2,2,4,4,3,3,2,1
