núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
2423,2017,24,19,4,3,4,1,2102,21,99,1,23,3,3,5,1,4,999,99,9999,6,1,2,1
2424,2017,24,19,4,3,4,1,2102,21,99,1,16,2,2,4,2,4,999,99,9999,6,1,2,1
2425,2017,24,16,3,2,4,1,1210,12,99,1,34,5,5,7,1,4,67,5,9999,6,1,2,1
2426,2017,24,18,4,3,4,1,1906,19,99,1,30,5,5,7,1,4,76,1,9999,6,1,2,1
2427,2017,24,20,4,3,4,1,407,4,99,2,42,7,7,9,1,3,69,4,1984,2,3,2,1
2428,2017,25,11,2,1,4,2,510,5,99,2,35,6,6,8,1,4,67,5,9999,6,1,2,1
2429,2017,25,11,2,1,4,2,510,5,99,1,2,1,1,1,2,4,67,5,9999,6,1,2,1
2430,2017,25,12,3,2,4,2,502,5,99,2,34,5,5,7,1,4,999,99,9999,6,2,1,2
2431,2017,25,9,2,1,4,2,1215,12,99,1,34,5,5,7,1,4,64,1,9999,6,1,1,2
2432,2017,25,9,2,1,4,2,1215,12,99,2,11,1,1,3,2,4,64,1,9999,6,1,2,1
2433,2017,26,15,3,2,4,3,101,1,1,1,30,5,5,7,1,3,69,4,9999,6,1,2,1
2434,2017,26,15,3,2,4,3,101,1,1,1,999,16,12,18,1,4,67,3,9999,6,1,1,2
2435,2017,26,15,3,2,4,3,101,1,1,1,25,4,4,6,1,4,67,3,9999,6,1,2,1
2436,2017,26,7,2,1,4,3,101,1,3,1,32,5,5,7,1,4,105,1,2017,5,1,2,1
2437,2017,26,7,2,1,4,3,101,1,3,2,29,4,4,6,1,1,56,3,2010,5,1,2,1
2438,2017,26,12,3,2,4,3,101,1,6,1,20,3,3,5,1,4,18,5,2011,5,1,2,1
2439,2017,26,19,4,3,4,3,101,1,5,2,999,16,12,18,1,1,999,99,9999,6,1,2,1
2440,2017,26,23,4,3,4,3,101,1,7,1,22,3,3,5,1,4,64,5,9999,6,1,2,1
2441,2017,26,0,1,1,4,3,109,1,99,1,28,4,4,6,1,4,76,4,9999,6,1,2,1
2442,2017,26,20,4,3,4,3,2106,21,99,1,72,13,11,15,1,99,999,99,9999,6,3,1,2
2443,2017,26,17,3,2,4,3,201,2,99,1,41,7,7,9,1,6,19,2,9999,6,1,2,1
2444,2017,26,17,3,2,4,3,201,2,99,1,31,5,5,7,1,3,31,2,9999,6,1,2,1
2445,2017,26,17,3,2,4,3,201,2,99,1,46,8,8,10,1,3,31,2,9999,6,1,2,1
2446,2017,26,17,3,2,4,3,201,2,99,1,46,8,8,10,1,3,31,2,9999,6,1,1,2
2447,2017,26,19,4,3,4,3,701,7,99,1,33,5,5,7,1,3,69,2,9999,6,3,2,1
2448,2017,26,9,2,1,4,3,101,1,7,1,21,3,3,5,1,4,103,3,9999,6,1,2,1
2449,2017,27,20,4,3,4,4,107,1,99,2,7,1,1,2,2,1,69,5,1999,3,1,2,1
