num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,g_hora,depto_ocu,mupio_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,g_edad_2,mayor_menor,tipo_veh,color_veh,modelo_veh,causa_acc,marca_veh,estado_pil
3114,25,10,5,17,3,2,203,2,99,1,36,6,1,3,4,2013,1,20,9
3115,25,10,5,20,4,2,207,2,99,1,36,6,1,3,2,9999,1,37,9
3116,26,10,6,0,1,1,101,1,2,1,36,6,1,1,4,1986,2,99,2
3117,26,10,6,1,1,1,101,1,1,1,999,12,1,1,4,9999,1,34,9
3118,26,10,6,17,3,1,101,1,7,1,43,7,1,1,2,2005,2,5,9
3119,26,10,6,22,4,5,509,2,99,1,20,3,1,4,1,2012,1,45,9
3120,26,10,6,16,3,6,601,2,99,1,33,5,1,3,6,1999,1,37,9
3121,26,10,6,21,4,10,1001,2,99,1,27,4,1,1,4,2002,1,34,9
3122,26,10,6,18,4,9,901,2,99,1,45,8,1,3,4,9999,1,99,9
3123,26,10,6,19,4,16,1605,2,99,1,33,5,1,3,3,9999,2,99,9
3124,26,10,6,10,2,17,1707,2,99,1,999,12,1,1,9,1998,1,32,9
3125,26,10,6,1,1,7,710,2,99,1,34,5,1,1,6,9999,2,21,9
3126,27,10,7,1,1,1,101,1,6,1,37,6,1,1,99,2009,2,37,9
3127,27,10,7,14,3,1,105,2,99,1,999,12,1,3,11,1984,2,44,9
3128,27,10,7,13,3,1,106,2,99,1,40,7,1,3,3,1984,2,37,9
3129,27,10,7,8,2,1,101,1,12,1,39,6,1,12,1,9999,1,99,9
3130,27,10,7,20,4,1,101,1,12,1,30,5,1,1,5,2001,1,32,2
3131,27,10,7,1,1,1,115,1,5,1,23,3,1,1,2,1994,1,37,2
