núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_5,depto_ocu,mupio_ocu,área_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,fall_les,int_o_noint,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
6621,2015,11,27,5,8,2,1,18,1801,2,99,1,26,1,4,4,6,2,1,9,44,4,9999,6,1
6622,2015,11,27,5,8,2,1,18,1801,2,99,2,36,1,6,6,8,2,1,9,44,4,9999,6,1
6623,2015,11,27,5,8,2,1,18,1801,2,99,1,58,1,10,10,12,2,1,9,44,4,9999,6,1
6624,2015,11,27,5,8,2,1,18,1801,2,99,1,2,2,1,1,1,2,1,9,44,4,9999,6,1
6625,2015,11,27,5,8,2,1,18,1801,2,99,1,6,2,1,1,2,2,1,9,44,4,9999,6,1
6626,2015,11,27,5,8,2,1,18,1801,2,99,2,22,1,3,3,5,2,1,9,44,4,9999,6,1
6627,2015,11,27,5,8,2,1,18,1801,2,99,1,60,1,11,11,13,1,2,9,44,4,9999,6,1
6628,2015,11,27,5,17,3,2,4,409,2,99,1,24,1,3,3,5,2,1,4,99,1,9999,6,1
6629,2015,11,27,5,19,4,3,4,403,1,99,1,35,1,6,6,8,2,1,4,99,1,9999,6,1
6630,2015,11,28,6,21,4,3,1,101,1,18,1,20,1,3,3,5,2,2,1,32,4,2007,4,2
6631,2015,11,28,6,18,4,3,1,101,1,11,1,26,1,4,4,6,2,1,4,2,3,9999,6,1
6632,2015,11,28,6,21,4,3,1,117,2,99,1,30,1,5,5,7,2,2,4,99,99,9999,6,3
6633,2015,11,28,6,21,4,3,22,2217,2,99,2,19,1,2,2,4,2,1,2,44,5,1998,3,3
6634,2015,11,28,6,21,4,3,22,2217,2,99,2,60,1,11,11,13,2,1,2,44,5,1998,3,3
6635,2015,11,28,6,21,4,3,22,2217,2,99,1,1,2,1,1,1,2,1,2,44,5,1998,3,3
6636,2015,11,28,6,21,4,3,22,2217,2,99,2,38,1,6,6,8,2,2,2,44,5,1998,3,3
6637,2015,11,28,6,21,4,3,22,2217,2,99,1,43,1,7,7,9,2,2,2,44,5,1998,3,3
6638,2015,11,28,6,21,4,3,22,2217,2,99,1,17,2,2,2,4,2,2,2,44,5,1998,3,3
6639,2015,11,28,6,21,4,3,22,2217,2,99,2,17,2,2,2,4,2,2,2,44,5,1998,3,3
6640,2015,11,28,6,21,4,3,22,2217,2,99,1,38,1,6,6,8,2,2,2,44,5,1998,3,3
6641,2015,11,28,6,21,4,3,22,2217,2,99,1,28,1,4,4,6,2,2,2,44,5,1998,3,3
6642,2015,11,28,6,20,4,3,5,507,2,99,1,32,1,5,5,7,2,2,4,59,5,9999,6,2
6643,2015,11,28,6,20,4,3,5,507,2,99,2,35,1,6,6,8,2,2,4,59,5,9999,6,2
6644,2015,11,28,6,15,3,2,5,506,2,99,1,70,1,13,11,15,1,2,4,99,99,9999,6,1
6645,2015,11,28,6,15,3,2,5,506,2,99,1,73,1,13,11,15,2,1,4,99,99,9999,6,1
6646,2015,11,28,6,13,3,2,9,901,1,1,2,19,1,2,2,4,2,2,1,44,2,1990,3,1
6647,2015,11,28,6,13,3,2,9,901,1,1,2,3,2,1,1,1,2,1,1,44,2,1990,3,1
6648,2015,11,28,6,14,3,2,16,1604,2,99,1,29,1,4,4,6,2,2,4,14,5,2012,5,1
6649,2015,11,28,6,1,1,1,7,710,2,99,1,22,1,3,3,5,2,1,4,99,99,9999,6,3
6650,2015,11,28,6,14,3,2,4,401,1,3,1,17,2,2,2,4,2,1,4,99,99,9999,6,3
6651,2015,11,29,7,3,1,1,1,101,1,3,2,28,1,4,4,6,2,1,1,37,5,2005,4,1
6652,2015,11,29,7,3,1,1,1,101,1,3,1,55,1,10,10,12,2,1,2,20,99,9999,6,1
6653,2015,11,29,7,18,4,3,1,101,1,14,2,4,2,1,1,1,2,2,4,2,5,2013,5,1
6654,2015,11,29,7,23,4,3,1,101,1,16,2,55,1,10,10,12,2,1,1,32,4,9999,6,1
6655,2015,11,29,7,23,4,3,1,101,1,16,1,71,1,13,11,15,1,2,1,44,4,9999,6,1
6656,2015,11,29,7,2,1,1,1,101,1,12,2,42,1,7,7,9,2,2,1,32,4,2015,5,1
6657,2015,11,29,7,2,1,1,1,101,1,12,2,52,1,9,9,11,2,2,1,32,4,2015,5,1
6658,2015,11,29,7,0,1,1,1,110,2,99,2,20,1,3,3,5,2,1,4,99,99,9999,6,3
6659,2015,11,29,7,14,3,2,19,1901,2,99,1,50,1,9,9,11,2,1,9,44,2,2014,5,1
6660,2015,11,29,7,14,3,2,19,1901,2,99,1,22,1,3,3,5,2,1,4,42,3,9999,6,1
6661,2015,11,29,7,5,1,1,9,909,2,99,1,17,2,2,2,4,2,1,5,33,2,1987,2,1
6662,2015,11,29,7,5,1,1,9,909,2,99,1,46,1,8,8,10,2,1,5,33,2,1987,2,1
6663,2015,11,29,7,5,1,1,9,909,2,99,1,28,1,4,4,6,2,1,5,33,2,1987,2,1
6664,2015,11,29,7,5,1,1,9,909,2,99,1,26,1,4,4,6,1,2,5,33,2,1987,2,1
6665,2015,11,29,7,8,2,1,2,201,2,99,1,33,1,5,5,7,2,2,3,44,2,9999,6,3
6666,2015,11,29,7,8,2,1,2,201,2,99,1,37,1,6,6,8,2,2,3,44,2,9999,6,3
6667,2015,11,29,7,8,2,1,2,201,2,99,1,18,1,2,2,4,2,2,3,44,2,9999,6,3
6668,2015,11,29,7,8,2,1,2,201,2,99,1,12,2,1,1,3,2,2,3,44,2,9999,6,3
6669,2015,11,29,7,8,2,1,2,201,2,99,1,14,2,1,1,3,2,1,3,44,2,9999,6,3
6670,2015,11,29,7,8,2,1,2,201,2,99,1,18,1,2,2,4,2,1,3,44,2,9999,6,3
6671,2015,11,29,7,21,4,3,2,203,2,99,1,42,1,7,7,9,2,1,14,2,1,2004,4,1
6672,2015,11,29,7,21,4,3,2,203,2,99,2,36,1,6,6,8,2,2,14,2,1,2004,4,1
6673,2015,11,29,7,21,4,3,2,203,2,99,1,19,1,2,2,4,2,2,14,2,1,2004,4,1
6674,2015,11,29,7,21,4,3,2,203,2,99,1,17,2,2,2,4,2,1,4,42,1,2012,5,1
6675,2015,11,29,7,19,4,3,17,1710,2,99,1,29,1,4,4,6,2,1,4,99,99,9999,6,1
6676,2015,11,29,7,19,4,3,17,1710,2,99,1,35,1,6,6,8,1,2,4,99,99,9999,6,1
6677,2015,11,29,7,19,4,3,17,1710,2,99,1,16,2,2,2,4,1,2,4,99,99,9999,6,1
6678,2015,11,29,7,20,4,3,4,401,2,99,1,36,1,6,6,8,2,1,4,21,99,2007,4,1
6679,2015,11,30,1,3,1,1,1,101,1,7,2,30,1,5,5,7,1,2,1,34,7,9999,6,2
6680,2015,11,30,1,3,1,1,1,101,1,7,2,23,1,3,3,5,2,1,1,34,7,9999,6,2
6681,2015,11,30,1,3,1,1,1,101,1,7,1,21,1,3,3,5,2,1,1,34,7,9999,6,2
6682,2015,11,30,1,3,1,1,1,101,1,7,1,35,1,6,6,8,2,1,5,99,2,9999,6,2
6683,2015,11,30,1,20,4,3,11,1101,1,1,1,28,1,4,4,6,2,1,1,99,5,2013,5,1
6684,2015,11,30,1,15,3,2,11,1101,1,1,1,20,1,3,3,5,2,1,1,99,2,2009,4,1
6685,2015,11,30,1,15,3,2,19,1901,1,99,1,17,2,2,2,4,2,1,99,99,99,9999,6,1
6686,2015,12,1,2,19,4,3,1,101,1,9,1,44,1,7,7,9,2,1,1,44,11,2005,4,1
6687,2015,12,1,2,19,4,3,1,101,1,9,1,53,1,9,9,11,2,1,1,44,11,2005,4,1
6688,2015,12,1,2,19,4,3,1,101,1,9,1,24,1,3,3,5,2,1,1,32,3,2003,4,1
6689,2015,12,1,2,17,3,2,1,101,1,8,1,33,1,5,5,7,2,1,4,99,99,9999,6,1
6690,2015,12,1,2,17,3,2,1,101,1,7,1,18,1,2,2,4,2,1,4,2,3,9999,6,1
